model,context_id,human_average_rating,response,prevgt,all_references,context
hredf,91_1,2.0,"well , i think you can find a car car .",so you have all the news on broadcast ?,that 's so cool .   how is it ?	is the driver mate helpful ?	will the driver mate allow you to drive hands free ?	so you have all the news on broadcast ?,how do you get road news ?||||i 've a driver mate in my car !
seq2seqf,91_1,1.8,what 's the problem ?,so you have all the news on broadcast ?,that 's so cool .   how is it ?	is the driver mate helpful ?	will the driver mate allow you to drive hands free ?	so you have all the news on broadcast ?,how do you get road news ?||||i 've a driver mate in my car !
hredf,13_1,4.2,"yes , i think so .","yes , we have one copy left .","we certainly do , let me find it for you .	i 'm not sure , let me look for you .	i 'm sorry but we do n't have any copies of that right now .	yes , we have one copy left .",nani book store . how can i help you ?||||do you have the'the man and the sea'by ernest hemingway ?
seq2seqf,13_1,2.6,"yes , it is .","yes , we have one copy left .","we certainly do , let me find it for you .	i 'm not sure , let me look for you .	i 'm sorry but we do n't have any copies of that right now .	yes , we have one copy left .",nani book store . how can i help you ?||||do you have the'the man and the sea'by ernest hemingway ?
human,13_1,5.0,"yes , we have that book in hardcover , paperback , and digital . we also have it in several editions . is there any particular version of the book you are looking for ?","yes , we have one copy left .","we certainly do , let me find it for you .	i 'm not sure , let me look for you .	i 'm sorry but we do n't have any copies of that right now .	yes , we have one copy left .",nani book store . how can i help you ?||||do you have the'the man and the sea'by ernest hemingway ?
CVAEf,13_1,2.25,"yes , that 's right . i have an appointment with you .","yes , we have one copy left .","we certainly do , let me find it for you .	i 'm not sure , let me look for you .	i 'm sorry but we do n't have any copies of that right now .	yes , we have one copy left .",nani book store . how can i help you ?||||do you have the'the man and the sea'by ernest hemingway ?
dualencoder_train,13_1,1.5,"i 'm afraid not . we insist on a letter of credit , because as seller , we also have the problem of funds being tied up .","yes , we have one copy left .","we certainly do , let me find it for you .	i 'm not sure , let me look for you .	i 'm sorry but we do n't have any copies of that right now .	yes , we have one copy left .",nani book store . how can i help you ?||||do you have the'the man and the sea'by ernest hemingway ?
dualencoder_train,52_0,2.2,"no , that wo n't do . i 'll take this smoked ham you have here .","yes , and i want to buy the insurance too . i think it 's necessary .","i 'm still thinking about it .	what colors does it come in ?	i will take the porsche .	yes , and i want to buy the insurance too . i think it 's necessary .","take a seat inside and see what you think . so you will take the porsche then , sir ?"
hredf,52_0,3.4,sure .,"yes , and i want to buy the insurance too . i think it 's necessary .","i 'm still thinking about it .	what colors does it come in ?	i will take the porsche .	yes , and i want to buy the insurance too . i think it 's necessary .","take a seat inside and see what you think . so you will take the porsche then , sir ?"
seq2seqf,52_0,3.0,i do n't know . i 'll take it .,"yes , and i want to buy the insurance too . i think it 's necessary .","i 'm still thinking about it .	what colors does it come in ?	i will take the porsche .	yes , and i want to buy the insurance too . i think it 's necessary .","take a seat inside and see what you think . so you will take the porsche then , sir ?"
CVAEf,52_0,1.6666666666666667,ok . i 'll be waiting for you .,"yes , and i want to buy the insurance too . i think it 's necessary .","i 'm still thinking about it .	what colors does it come in ?	i will take the porsche .	yes , and i want to buy the insurance too . i think it 's necessary .","take a seat inside and see what you think . so you will take the porsche then , sir ?"
human,52_0,5.0,i am thinking about it can i take it for a ride ?,"yes , and i want to buy the insurance too . i think it 's necessary .","i 'm still thinking about it .	what colors does it come in ?	i will take the porsche .	yes , and i want to buy the insurance too . i think it 's necessary .","take a seat inside and see what you think . so you will take the porsche then , sir ?"
dualencoder_train,36_0,5.0,hi . i 'm tom peterson . i 'm looking for a one - bedroom apartment .,i 'm having a problem .,you can show me the cars	you can help me with this problem	you can tell me how to get to customer service	i 'm having a problem .,how may i help you ?
CVAEf,36_0,3.6,i want to return to my trial book .,i 'm having a problem .,you can show me the cars	you can help me with this problem	you can tell me how to get to customer service	i 'm having a problem .,how may i help you ?
hredf,36_0,4.6,i need to return a book .,i 'm having a problem .,you can show me the cars	you can help me with this problem	you can tell me how to get to customer service	i 'm having a problem .,how may i help you ?
human,36_0,3.4,can you help me ?,i 'm having a problem .,you can show me the cars	you can help me with this problem	you can tell me how to get to customer service	i 'm having a problem .,how may i help you ?
seq2seqf,36_0,4.6,i 'm looking for a job .,i 'm having a problem .,you can show me the cars	you can help me with this problem	you can tell me how to get to customer service	i 'm having a problem .,how may i help you ?
hredf,42_0,4.5,i 'd like a hamburger .,i 'd like a beer . what kind of beer do you have ?,i would like a double cheeseburger .	i would like a hamburger .	i would like a large coke .	i 'd like a beer . what kind of beer do you have ?,good evening . what 'll you have ?
CVAEf,42_0,3.0,i have a reservation with prizes .,i 'd like a beer . what kind of beer do you have ?,i would like a double cheeseburger .	i would like a hamburger .	i would like a large coke .	i 'd like a beer . what kind of beer do you have ?,good evening . what 'll you have ?
human,42_0,4.333333333333333,"i 'll just take a coffee , thank you .",i 'd like a beer . what kind of beer do you have ?,i would like a double cheeseburger .	i would like a hamburger .	i would like a large coke .	i 'd like a beer . what kind of beer do you have ?,good evening . what 'll you have ?
dualencoder_train,42_0,4.0,"a single room , preferably with a bath .",i 'd like a beer . what kind of beer do you have ?,i would like a double cheeseburger .	i would like a hamburger .	i would like a large coke .	i 'd like a beer . what kind of beer do you have ?,good evening . what 'll you have ?
seq2seqf,42_0,4.0,i 'm not sure .,i 'd like a beer . what kind of beer do you have ?,i would like a double cheeseburger .	i would like a hamburger .	i would like a large coke .	i 'd like a beer . what kind of beer do you have ?,good evening . what 'll you have ?
seq2seqf,56_5,3.75,i 'm glad you like it .,it is the best quality porcelain - the famous egg - shell china .,i 'm so glad you found what you like .	it is really beautiful .	i 'm looking forward to your wedding .	it is the best quality porcelain - the famous egg - shell china .,you 're made a good choice . this china tea set is unusual .||||where was it from ?||||it was made in jingdezhen .||||jingdezhen ? is n't it called'the capital of porcelain ' ?||||you are right .||||this is the very thing i 've been dreaming of .
dualencoder_train,56_5,2.25,"now wash them , then dice the potatoes and bell peppers , then slice the meat .",it is the best quality porcelain - the famous egg - shell china .,i 'm so glad you found what you like .	it is really beautiful .	i 'm looking forward to your wedding .	it is the best quality porcelain - the famous egg - shell china .,you 're made a good choice . this china tea set is unusual .||||where was it from ?||||it was made in jingdezhen .||||jingdezhen ? is n't it called'the capital of porcelain ' ?||||you are right .||||this is the very thing i 've been dreaming of .
human,56_5,4.666666666666667,so will you like to have this tea set ?,it is the best quality porcelain - the famous egg - shell china .,i 'm so glad you found what you like .	it is really beautiful .	i 'm looking forward to your wedding .	it is the best quality porcelain - the famous egg - shell china .,you 're made a good choice . this china tea set is unusual .||||where was it from ?||||it was made in jingdezhen .||||jingdezhen ? is n't it called'the capital of porcelain ' ?||||you are right .||||this is the very thing i 've been dreaming of .
CVAEf,56_5,3.6666666666666665,it 's so beautiful .,it is the best quality porcelain - the famous egg - shell china .,i 'm so glad you found what you like .	it is really beautiful .	i 'm looking forward to your wedding .	it is the best quality porcelain - the famous egg - shell china .,you 're made a good choice . this china tea set is unusual .||||where was it from ?||||it was made in jingdezhen .||||jingdezhen ? is n't it called'the capital of porcelain ' ?||||you are right .||||this is the very thing i 've been dreaming of .
hredf,56_5,3.0,"wow , i 'm eager to hear that .",it is the best quality porcelain - the famous egg - shell china .,i 'm so glad you found what you like .	it is really beautiful .	i 'm looking forward to your wedding .	it is the best quality porcelain - the famous egg - shell china .,you 're made a good choice . this china tea set is unusual .||||where was it from ?||||it was made in jingdezhen .||||jingdezhen ? is n't it called'the capital of porcelain ' ?||||you are right .||||this is the very thing i 've been dreaming of .
CVAEf,54_4,2.4,ok . i know what you mean . the _UNK is great .,you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,oh wow that sounds so good	i think i will have the same	i love salmon . that sounds perfect .	you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .||||speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .||||sound great . let 's go !||||look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .||||true . i would like to have some salmon sashimi and a roast salmon head ."
hredf,54_4,3.8,ok . let 's go .,you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,oh wow that sounds so good	i think i will have the same	i love salmon . that sounds perfect .	you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .||||speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .||||sound great . let 's go !||||look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .||||true . i would like to have some salmon sashimi and a roast salmon head ."
human,54_4,4.75,that sounds really good i love eating fish,you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,oh wow that sounds so good	i think i will have the same	i love salmon . that sounds perfect .	you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .||||speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .||||sound great . let 's go !||||look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .||||true . i would like to have some salmon sashimi and a roast salmon head ."
seq2seqf,54_4,3.25,i 'll try to get it .,you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,oh wow that sounds so good	i think i will have the same	i love salmon . that sounds perfect .	you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .||||speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .||||sound great . let 's go !||||look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .||||true . i would like to have some salmon sashimi and a roast salmon head ."
dualencoder_train,54_4,1.25,but i like the small mountain village . the big town is noisy . how charming it is when walking along the hill !,you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,oh wow that sounds so good	i think i will have the same	i love salmon . that sounds perfect .	you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .,"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .||||speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .||||sound great . let 's go !||||look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .||||true . i would like to have some salmon sashimi and a roast salmon head ."
seq2seqf,99_0,1.2,it 's a _UNK .,over there .,down your hall on your first right .	its right behind you .	it 's near the entrance .	over there .,where 's the toilet ?
CVAEf,99_0,2.2,it 's in the north .,over there .,down your hall on your first right .	its right behind you .	it 's near the entrance .	over there .,where 's the toilet ?
dualencoder_train,99_0,1.4,apparently forced entry . the lock is battered to pieces .,over there .,down your hall on your first right .	its right behind you .	it 's near the entrance .	over there .,where 's the toilet ?
human,99_0,5.0,"go down the hall , take the first left , and it will be at the end of a short hallway .",over there .,down your hall on your first right .	its right behind you .	it 's near the entrance .	over there .,where 's the toilet ?
hredf,99_0,1.6,it 's the wagon .,over there .,down your hall on your first right .	its right behind you .	it 's near the entrance .	over there .,where 's the toilet ?
dualencoder_train,87_0,3.4,no kidding . time is running out .,better late than never .,"do n't worry ! it 's cool .	it 's a thing that happens .	why , i never ! what is this spectre before me ? !	better late than never .",i 'm sorry i 'm late .
CVAEf,87_0,2.0,you just mess up .,better late than never .,"do n't worry ! it 's cool .	it 's a thing that happens .	why , i never ! what is this spectre before me ? !	better late than never .",i 'm sorry i 'm late .
hredf,87_0,4.5,what happened ?,better late than never .,"do n't worry ! it 's cool .	it 's a thing that happens .	why , i never ! what is this spectre before me ? !	better late than never .",i 'm sorry i 'm late .
human,87_0,5.0,"it 's ok , we have n't started yet .",better late than never .,"do n't worry ! it 's cool .	it 's a thing that happens .	why , i never ! what is this spectre before me ? !	better late than never .",i 'm sorry i 'm late .
seq2seqf,87_0,1.25,"i 'm sorry , but i 'm not sure .",better late than never .,"do n't worry ! it 's cool .	it 's a thing that happens .	why , i never ! what is this spectre before me ? !	better late than never .",i 'm sorry i 'm late .
seq2seqf,65_0,1.0,i 'm sorry . i 'm sorry . i 'm sorry . i 'm sorry . i 'm sorry . i 'm not sure .,what a pity !,what exactly needs changed ?	what do you need to change about it ?	how can we change it ?	what a pity !,"i 'm sorry , our appointment has to be changed ."
hredf,65_0,2.5,what time does the meeting start ?,what a pity !,what exactly needs changed ?	what do you need to change about it ?	how can we change it ?	what a pity !,"i 'm sorry , our appointment has to be changed ."
human,65_0,4.0,which appointment ? i have several .,what a pity !,what exactly needs changed ?	what do you need to change about it ?	how can we change it ?	what a pity !,"i 'm sorry , our appointment has to be changed ."
CVAEf,65_0,2.25,what 's up ?,what a pity !,what exactly needs changed ?	what do you need to change about it ?	how can we change it ?	what a pity !,"i 'm sorry , our appointment has to be changed ."
dualencoder_train,65_0,1.5,"oh , i am sorry , jason . i 've already got plans for friday evening . how about saturday ?",what a pity !,what exactly needs changed ?	what do you need to change about it ?	how can we change it ?	what a pity !,"i 'm sorry , our appointment has to be changed ."
CVAEf,35_2,1.6,you have to pay the problem .,really ? what did you get one for ?,what was it for ?	how much is it ?	do you resent you got a ticket ?	really ? what did you get one for ?,have you ever gotten a parking ticket ?||||i 've never gotten one . have you ?||||i got a ticket yesterday .
seq2seqf,35_2,2.6,what 's the problem ?,really ? what did you get one for ?,what was it for ?	how much is it ?	do you resent you got a ticket ?	really ? what did you get one for ?,have you ever gotten a parking ticket ?||||i 've never gotten one . have you ?||||i got a ticket yesterday .
hredf,35_2,2.0,what time does the ticket start ?,really ? what did you get one for ?,what was it for ?	how much is it ?	do you resent you got a ticket ?	really ? what did you get one for ?,have you ever gotten a parking ticket ?||||i 've never gotten one . have you ?||||i got a ticket yesterday .
human,35_2,3.8,where ?,really ? what did you get one for ?,what was it for ?	how much is it ?	do you resent you got a ticket ?	really ? what did you get one for ?,have you ever gotten a parking ticket ?||||i 've never gotten one . have you ?||||i got a ticket yesterday .
dualencoder_train,35_2,1.4,why do n't you go to see the empire state building ?,really ? what did you get one for ?,what was it for ?	how much is it ?	do you resent you got a ticket ?	really ? what did you get one for ?,have you ever gotten a parking ticket ?||||i 've never gotten one . have you ?||||i got a ticket yesterday .
hredf,34_5,1.4,"well , i guess you 're right .",what are you going to do now ?,was all the blame placed on you ?	did you see warning signs that something was off ?	did you try to explain yourself ?	what are you going to do now ?,"hi , dan . what 's new ?||||where have you been ? i 've been trying to get in touch with you for two days .||||i went to salt lake city on business . what 's up ?||||i got fired .||||how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?||||it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up ."
seq2seqf,34_5,1.8,"i 'm sorry , but i 'm not sure .",what are you going to do now ?,was all the blame placed on you ?	did you see warning signs that something was off ?	did you try to explain yourself ?	what are you going to do now ?,"hi , dan . what 's new ?||||where have you been ? i 've been trying to get in touch with you for two days .||||i went to salt lake city on business . what 's up ?||||i got fired .||||how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?||||it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up ."
dualencoder_train,34_5,1.2,"sounds good , and so , why do you want to work with them ?",what are you going to do now ?,was all the blame placed on you ?	did you see warning signs that something was off ?	did you try to explain yourself ?	what are you going to do now ?,"hi , dan . what 's new ?||||where have you been ? i 've been trying to get in touch with you for two days .||||i went to salt lake city on business . what 's up ?||||i got fired .||||how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?||||it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up ."
CVAEf,34_5,1.4,you really should n't get a move .,what are you going to do now ?,was all the blame placed on you ?	did you see warning signs that something was off ?	did you try to explain yourself ?	what are you going to do now ?,"hi , dan . what 's new ?||||where have you been ? i 've been trying to get in touch with you for two days .||||i went to salt lake city on business . what 's up ?||||i got fired .||||how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?||||it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up ."
human,34_5,5.0,oh that s unfortunate . what are you planning to do now,what are you going to do now ?,was all the blame placed on you ?	did you see warning signs that something was off ?	did you try to explain yourself ?	what are you going to do now ?,"hi , dan . what 's new ?||||where have you been ? i 've been trying to get in touch with you for two days .||||i went to salt lake city on business . what 's up ?||||i got fired .||||how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?||||it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up ."
human,95_1,5.0,"hi xiaogang , this is the admissions officer . how are you doing this morning ?",i want to know whether you will come to the interview . so have you accepted offers from other companies ?,i would like to talk to you about your application .	would you be able to come in on monday so that we can speak in person ?	your application has been approved .	i want to know whether you will come to the interview . so have you accepted offers from other companies ?,"hello , is that xiaogang li who applied for the solar studio of our college ?||||yes , speaking ."
dualencoder_train,95_1,2.4,do you have more than 200 employees in the company ?,i want to know whether you will come to the interview . so have you accepted offers from other companies ?,i would like to talk to you about your application .	would you be able to come in on monday so that we can speak in person ?	your application has been approved .	i want to know whether you will come to the interview . so have you accepted offers from other companies ?,"hello , is that xiaogang li who applied for the solar studio of our college ?||||yes , speaking ."
seq2seqf,95_1,2.2,what 's the problem ?,i want to know whether you will come to the interview . so have you accepted offers from other companies ?,i would like to talk to you about your application .	would you be able to come in on monday so that we can speak in person ?	your application has been approved .	i want to know whether you will come to the interview . so have you accepted offers from other companies ?,"hello , is that xiaogang li who applied for the solar studio of our college ?||||yes , speaking ."
CVAEf,95_1,3.0,i am calling to inform you that our company is a new company .,i want to know whether you will come to the interview . so have you accepted offers from other companies ?,i would like to talk to you about your application .	would you be able to come in on monday so that we can speak in person ?	your application has been approved .	i want to know whether you will come to the interview . so have you accepted offers from other companies ?,"hello , is that xiaogang li who applied for the solar studio of our college ?||||yes , speaking ."
hredf,95_1,2.2,what do you think of the office ?,i want to know whether you will come to the interview . so have you accepted offers from other companies ?,i would like to talk to you about your application .	would you be able to come in on monday so that we can speak in person ?	your application has been approved .	i want to know whether you will come to the interview . so have you accepted offers from other companies ?,"hello , is that xiaogang li who applied for the solar studio of our college ?||||yes , speaking ."
seq2seqf,41_9,3.0,i 'm not sure .,your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,i do n't want to burden you .	are you sure it would be okay ?	i do n't want her to get you sick .	your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,"listen , karen , i need your help . i do n't know anyone here yet .||||i 'm glad to help you . what 's wrong ?||||my mother - in - law just went into the hospital in l . a . hank and i will be flying there tonight .||||i 'm sorry to hear it . what 's wrong with her ?||||doctors are n't sure yet . but the real problem is suzy . she has a bad cold , and we do n't want to take her with us . but we do n't know who can stay with her .||||you need a babysitter .||||yes , i 'd ask jill , the girl i 've had before , but i need someone overnight . maybe even for two nights .||||i could have suzy stay at my place .||||i do n't want to do that to you , karen .||||why not ?"
dualencoder_train,41_9,1.6,"well , mumm , they ... time for a break ! we can talk about it when you get back .",your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,i do n't want to burden you .	are you sure it would be okay ?	i do n't want her to get you sick .	your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,"listen , karen , i need your help . i do n't know anyone here yet .||||i 'm glad to help you . what 's wrong ?||||my mother - in - law just went into the hospital in l . a . hank and i will be flying there tonight .||||i 'm sorry to hear it . what 's wrong with her ?||||doctors are n't sure yet . but the real problem is suzy . she has a bad cold , and we do n't want to take her with us . but we do n't know who can stay with her .||||you need a babysitter .||||yes , i 'd ask jill , the girl i 've had before , but i need someone overnight . maybe even for two nights .||||i could have suzy stay at my place .||||i do n't want to do that to you , karen .||||why not ?"
hredf,41_9,1.5,"well , doctors is a lousy girl . she said she would like to start with her .",your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,i do n't want to burden you .	are you sure it would be okay ?	i do n't want her to get you sick .	your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,"listen , karen , i need your help . i do n't know anyone here yet .||||i 'm glad to help you . what 's wrong ?||||my mother - in - law just went into the hospital in l . a . hank and i will be flying there tonight .||||i 'm sorry to hear it . what 's wrong with her ?||||doctors are n't sure yet . but the real problem is suzy . she has a bad cold , and we do n't want to take her with us . but we do n't know who can stay with her .||||you need a babysitter .||||yes , i 'd ask jill , the girl i 've had before , but i need someone overnight . maybe even for two nights .||||i could have suzy stay at my place .||||i do n't want to do that to you , karen .||||why not ?"
CVAEf,41_9,1.25,she 's a little busy . i want to ask you to do some household - ups .,your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,i do n't want to burden you .	are you sure it would be okay ?	i do n't want her to get you sick .	your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,"listen , karen , i need your help . i do n't know anyone here yet .||||i 'm glad to help you . what 's wrong ?||||my mother - in - law just went into the hospital in l . a . hank and i will be flying there tonight .||||i 'm sorry to hear it . what 's wrong with her ?||||doctors are n't sure yet . but the real problem is suzy . she has a bad cold , and we do n't want to take her with us . but we do n't know who can stay with her .||||you need a babysitter .||||yes , i 'd ask jill , the girl i 've had before , but i need someone overnight . maybe even for two nights .||||i could have suzy stay at my place .||||i do n't want to do that to you , karen .||||why not ?"
human,41_9,4.75,i 'd feel awful if you got sick because of suzy .,your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,i do n't want to burden you .	are you sure it would be okay ?	i do n't want her to get you sick .	your own kids would get suzy 's cold . i think it would be better to have a good babysitter here . but i do n't know who to ask . i need someone more mature than jill . it might even be for two or three days .,"listen , karen , i need your help . i do n't know anyone here yet .||||i 'm glad to help you . what 's wrong ?||||my mother - in - law just went into the hospital in l . a . hank and i will be flying there tonight .||||i 'm sorry to hear it . what 's wrong with her ?||||doctors are n't sure yet . but the real problem is suzy . she has a bad cold , and we do n't want to take her with us . but we do n't know who can stay with her .||||you need a babysitter .||||yes , i 'd ask jill , the girl i 've had before , but i need someone overnight . maybe even for two nights .||||i could have suzy stay at my place .||||i do n't want to do that to you , karen .||||why not ?"
seq2seqf,68_3,2.0,"yes , we have a new year 's day .","just that in effect , a basic letter of credit is a financial contract between the bank , the bank 's customer , and the beneficiary , and this contract involves the transfer of goods or services against funds .","no , you should be all set .	i think that covers everything . do you have any other questions ?	i do n't think so . would you like an emailed document listing the above forms ?	just that in effect , a basic letter of credit is a financial contract between the bank , the bank 's customer , and the beneficiary , and this contract involves the transfer of goods or services against funds .","hello , sir . how can we help you today ?||||i need to find out some more information for l / c . i would like an outline of responsibilities , both ours , yours and the beneficiary , please .||||ok , to start , the conditions are specified by the buyer and may include insurance forms , way bills , bills of lading , customs forms , various certificates .||||ok , got it . is there anything else i need to know before we go ahead ?"
